code,target,sigprice,gentime,usertag
DCE.c.HOT,5,2453,20210910112500000,
DCE.cs.HOT,-4,2825,20210910112500000,
DCE.m.HOT,5,3465,20210910112500000,
DCE.y.HOT,5,9064,20210910112500000,
DCE.cs.HOT,-5,2829,20210910113000000,
DCE.cs.HOT,-4,2829,20210910133500000,
DCE.cs.HOT,-5,2829,20210910134000000,
DCE.y.HOT,4,9010,20210910134000000,
DCE.y.HOT,5,9028,20210910134500000,
DCE.c.HOT,4,2458,20210910135500000,
DCE.m.HOT,4,3472,20210910135500000,
DCE.c.HOT,5,2459,20210910140000000,
DCE.m.HOT,5,3487,20210910140500000,
DCE.m.HOT,4,3477,20210910141500000,
DCE.m.HOT,5,3475,20210910142000000,
DCE.cs.HOT,-4,2829,20210910142500000,
DCE.cs.HOT,-5,2829,20210910143500000,
DCE.y.HOT,4,8962,20210910143500000,
DCE.m.HOT,4,3486,20210910144000000,
DCE.y.HOT,5,8970,20210910144000000,
DCE.m.HOT,5,3494,20210910144500000,
DCE.m.HOT,4,3488,20210910145500000,
DCE.cs.HOT,-4,2823,20210910150000000,
DCE.m.HOT,5,3500,20210910150000000,
DCE.c.HOT,4,2476,20210910211000000,
DCE.cs.HOT,-5,2838,20210910211000000,
DCE.c.HOT,5,2468,20210910211500000,
DCE.y.HOT,4,8984,20210910211500000,
DCE.m.HOT,4,3518,20210910212000000,
DCE.y.HOT,5,8988,20210910212000000,
DCE.m.HOT,5,3519,20210910212500000,
DCE.cs.HOT,-4,2839,20210910213000000,
DCE.m.HOT,4,3522,20210910213000000,
DCE.c.HOT,4,2475,20210910213500000,
DCE.cs.HOT,-5,2844,20210910213500000,
DCE.m.HOT,5,3524,20210910213500000,
DCE.c.HOT,5,2477,20210910214000000,
